10-22 14:43:12.387  5788  5788 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.dogglers/.GridListActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.dogglers/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@61cab8c
10-22 14:43:12.389   522  3263 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.389   522  3263 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.389   522  3263 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_9 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_7 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_10 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_4 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.390   522  3263 W InputReader: Device virtio_input_multi_touch_11 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.391   522  3263 W InputReader: Device virtio_input_multi_touch_5 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.391   522  3263 W InputReader: Device virtio_input_multi_touch_2 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.391   522  3263 W InputReader: Device virtio_input_multi_touch_6 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.391   522  3263 W InputReader: Device virtio_input_multi_touch_3 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.391   522  3263 W InputReader: Device virtio_input_multi_touch_8 is associated with display ADISPLAY_ID_NONE.
10-22 14:43:12.448  5788  5788 D LifecycleMonitor: Lifecycle status change: com.example.dogglers.GridListActivity@29e8bb6 in: PRE_ON_CREATE
10-22 14:43:12.448  5788  5788 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
10-22 14:43:12.529   304  1290 D goldfish-address-space: claimShared: Ask to claim region [0x3f52ca000 0x3f5c2f000]
10-22 14:43:12.541   522   965 D WifiNl80211Manager: Scan result ready event
10-22 14:43:12.541   522   965 D WifiNative: Scan result ready event
10-22 14:43:12.572  1677  2151 I PBSessionCacheImpl: (REDACTED) Deleted sessionId[%d] from persistence.
10-22 14:43:12.597  5788  5788 D LifecycleMonitor: Lifecycle status change: com.example.dogglers.GridListActivity@29e8bb6 in: CREATED
10-22 14:43:12.598  5788  5788 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=com.example.dogglers.GridListActivity@29e8bb6
10-22 14:43:12.608  5788  5788 D LifecycleMonitor: Lifecycle status change: com.example.dogglers.GridListActivity@29e8bb6 in: STARTED
10-22 14:43:12.609  5788  5788 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=com.example.dogglers.GridListActivity@29e8bb6
10-22 14:43:12.610  5788  5788 D LifecycleMonitor: Lifecycle status change: com.example.dogglers.GridListActivity@29e8bb6 in: RESUMED
10-22 14:43:12.611  5788  5788 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=com.example.dogglers.GridListActivity@29e8bb6
10-22 14:43:12.640  1677  1990 W SearchServiceCore: Abort, client detached.
10-22 14:43:12.676  5788  5788 D LifecycleMonitor: Lifecycle status change: androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@61cab8c in: STOPPED
10-22 14:43:12.678  5788  5788 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.dogglers/.GridListActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.dogglers/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@61cab8c
10-22 14:43:12.686  6070  6070 I org.webrtc.Logging: vclib: Loading native library: jingle_peerconnection_so.
10-22 14:43:12.703  6070  6105 I org.webrtc.Logging: CrashStartupListener: Checking conference crashes for 2 account(s).
10-22 14:43:12.704  6070  6070 I org.webrtc.Logging: vclib: Beginning load of jingle_peerconnection_so...
10-22 14:43:12.795   304  1290 D goldfish-address-space: claimShared: Ask to claim region [0x3f4000000 0x3f4965000]
10-22 14:43:12.873   304  1290 D goldfish-address-space: claimShared: Ask to claim region [0x3f5c2f000 0x3f6594000]
10-22 14:43:12.878   304   304 D goldfish-address-space: claimShared: Ask to claim region [0x3f6594000 0x3f6ef9000]
10-22 14:43:12.994  1150  5628 I NetworkScheduler.Stats: Task com.google.android.gms/com.google.android.gms.pay.gcmtask.PayGcmTaskService started execution. cause:5 exec_start_elapsed_seconds: 260 [CONTEXT service_id=218 ]
10-22 14:43:13.025  1622  1838 I Pay     : Device does not support HCE. [CONTEXT service_id=198 ]
10-22 14:43:13.058  1150  1150 D BoundBrokerSvc: onUnbind: Intent { act=com.google.android.gms.pseudonymous.service.START dat=chimera-action:com.google.android.gms.pseudonymous.service.START cmp=com.google.android.gms/.chimera.PersistentApiService }
